Influential_Solana_Twitter_Accounts
Group Name;Twitter URL;Name;Note
DeFi Protocol Founders;https://x.com/DriftProtocol;Drift Protocol;"Leading perps and spot DEX on Solana; key DeFi derivatives venue"
DeFi Protocol Founders;https://x.com/kamino;Kamino Finance;Top Solana lending and yield optimization protocol
DeFi Protocol Founders;https://twitter.com/marginfi;Marginfi;"Decentralized lending protocol on Solana; key money market"
DeFi Protocol Founders;https://twitter.com/MarinadeFinance;Marinade Finance;"Leading liquid staking protocol on Solana; key for SOL staking yield"
DeFi Protocol Founders;https://x.com/jito_sol;Jito;"MEV-optimized liquid staking and validator infra; major ecosystem pillar"
DeFi Protocol Founders;https://x.com/MeteoraAg;Meteora;"Dynamic liquidity AMM on Solana; innovative LP incentive mechanisms"
DeFi Protocol Founders;https://twitter.com/Tristan0x;Tristan Frizza;"Perfecting on-chain perps; Zeta Markets rebranded to Bullet (@bulletxyz_) — Solana's first Network Extension for trading"
NFT & Consumer Apps;https://x.com/MagicEden;Magic Eden;"Largest NFT marketplace pivoting to Solana-only + iGaming (Dicey); ME token launched Dec 2024"
NFT & Consumer Apps;https://twitter.com/sidazhang;Sidney Zhang;"Co-Founder & CTO of Magic Eden; engineering background at Uber/Facebook"
NFT & Consumer Apps;https://x.com/tensor_hq;Tensor;"Pro NFT trading platform on Solana; important for NFT liquidity and tooling"
NFT & Consumer Apps;https://x.com/backpack;Backpack Wallet;"Next-gen wallet by Armani Ferrante; home of xNFTs and Mad Lads; Jan 2026 Solana finance focus"
NFT & Consumer Apps;https://twitter.com/exchgART;Exchange Art;"Premier fine-art NFT platform on Solana; key for creator economy builders"
NFT & Consumer Apps;https://x.com/drip_haus;Drip Haus;"Free NFT distribution platform on Solana; onboarding tool for creators"
NFT & Consumer Apps;https://twitter.com/ParallelColony;Parallel Colony;"AI-native gaming on Solana; pioneering consumer entertainment use cases"
NFT & Consumer Apps;https://twitter.com/jerry10240;Jerry Huang;"Co-founder of STEPN / Find Satoshi Lab; led move-to-earn revolution on Solana"
Ecosystem, Community & Education;https://x.com/SuperteamEarn;Superteam DAO;"Global Solana contributor community; best onboarding network for new founders"
Ecosystem, Community & Education;https://x.com/superteam;Superteam;Official Superteam grants, bounties, and ecosystem acceleration programs
Ecosystem, Community & Education;https://x.com/colosseum;Colosseum;"Solana hackathon organizer and venture fund; published 2026 hackathon schedule Jan 2026"
Ecosystem, Community & Education;https://x.com/SolanaFndn;Solana Foundation;Non-profit dedicated to Solana decentralization, growth, and security
Ecosystem, Community & Education;https://x.com/phantom;Phantom Wallet;"Most widely used Solana wallet; primary UX gateway for users and dApps"
Ecosystem, Community & Education;https://x.com/solflare;Solflare Wallet;"Non-custodial Solana wallet; developer and power-user focused"
Ecosystem, Community & Education;https://x.com/birdeye_so;Birdeye;"Multi-chain token analytics; indispensable trading and research tool on Solana"
Ecosystem, Community & Education;https://x.com/solana;Solana Beach;"Real-time Solana block explorer; useful for monitoring on-chain activity"
Researchers & Analysts;https://x.com/kylesamani;Kyle (0xkyle__);"Investor at Defiance Capital; deep fundamental analysis on Solana and DeFi tokens"
Researchers & Analysts;https://twitter.com/Parcl;Parcl;"Real-world asset (RWA) protocol on Solana; pioneering real estate trading on-chain"
Researchers & Analysts;https://twitter.com/HxroNetwork;Hxro Network;"Parimutuel and derivatives betting infra on Solana; advanced DeFi risk layer"
Researchers & Analysts;https://x.com/MessariCrypto;Messari;"Published State of Solana Q1 2026 report; leading on-chain research firm"
Venture Capital & Business Development;https://twitter.com/OrangeDAOxyz;OrangeDAO;"YC alumni crypto DAO; invests in and supports early-stage web3 projects including Solana"
Venture Capital & Business Development;https://twitter.com/alliancedao;Alliance DAO;"Top web3 accelerator with strong Solana presence; key for founder fundraising"
Venture Capital & Business Development;https://twitter.com/joemccann;Joe McCann;"Asymmetric Research founder; influential Solana investor and market analyst"
Venture Capital & Business Development;https://x.com/multisig;Squads Protocol;"Multisig treasury and team asset management on Solana; critical for startup operations"
Venture Capital & Business Development;https://x.com/multicoin;Multicoin Capital;"Earliest institutional Solana backer; thesis-driven crypto VC with deep Solana research"
Gaming & DePIN;https://x.com/helium;Helium;"Decentralized wireless network (DePIN) on Solana; flagship real-world use case"
Gaming & DePIN;https://twitter.com/Hivemapper;Hivemapper;"Decentralized mapping network on Solana; leading DePIN project"
Gaming & DePIN;https://twitter.com/ionet_official;io.net;"Decentralized GPU network on Solana; key DePIN/AI compute platform"
Gaming & DePIN;https://twitter.com/grass;Grass;"Decentralized AI data layer on Solana; 8.5M monthly active users milestone reached 2026"
Gaming & DePIN;https://twitter.com/rendernetwork;Render Network;"Decentralized GPU rendering migrated to Solana; connects creators with compute"
Gaming & DePIN;https://twitter.com/Stepnofficial;STEPN;"Move-to-earn lifestyle app on Solana; demonstrated mass consumer onboarding at scale"
Marketing & Growth;https://x.com/bonk_inu;BONK;"First major Solana community memecoin; drove massive ecosystem attention and user onboarding"
Marketing & Growth;https://twitter.com/tradewithPhoton;Photon;"Fast Solana token trading terminal; popular among degen traders and growth marketers"
Marketing & Growth;https://twitter.com/streamflow_fi;Streamflow Finance;"Token vesting, airdrops, and streaming payments on Solana; fully Solana-focused as of Dec 2024"
Marketing & Growth;https://twitter.com/bonfida;Bonfida;"Solana Name Service (SNS) and trading tools; key for on-chain identity and branding"
Marketing & Growth;https://twitter.com/BackAnUnderdog;Underdog Protocol;"NFT tooling for loyalty and rewards programs; useful for consumer marketing use cases on Solana"
